PROGRAMA: char_sort
 salida de comprobacion de la instruccion que hay en un ciclo en cada etapa
ciclo  CP, dir  BUS, I. hex   DL, I. ascii
                                                   ETAPAS: DL, ALU, M, FMTL, ES         RIESGOS
                                                   DL    ALU   M     FMTL  ES       R.DATOS R.SECUENCIAMIENTO
    1  00000004  10001117    addi x0 , x0 , x000 | DL  | nop | nop | nop | nop      RD:  0  RS:  0
    2  00000008  00010113   auipc x2 , x10001    | DL  | A   | nop | nop | nop      RD:  0  RS:  0
    3  0000000C  FE010113    addi x2 , x2 , x000 | DLB | A   | R   | nop | nop      RD:  1  RS:  0
    4  0000000C  FE010113    addi x2 , x2 , x000 | DLB | nop | R   | R   | nop      RD:  1  RS:  0
    5  0000000C  FE010113    addi x2 , x2 , x000 | DLB | nop | nop | R   | E        RD:  1  RS:  0
    6  0000000C  FE010113    addi x2 , x2 , x000 | DLB | nop | nop | nop | E        RD:  1  RS:  0
    7  0000000C  FE010113    addi x2 , x2 , x000 | DL  | nop | nop | nop | nop      RD:  0  RS:  0
    8  00000010  000000B3    addi x2 , x2 , xFE0 | DLB | A   | nop | nop | nop      RD:  1  RS:  0
    9  00000010  000000B3    addi x2 , x2 , xFE0 | DLB | nop | R   | nop | nop      RD:  1  RS:  0
   10  00000010  000000B3    addi x2 , x2 , xFE0 | DLB | nop | nop | R   | nop      RD:  1  RS:  0
   11  00000010  000000B3    addi x2 , x2 , xFE0 | DLB | nop | nop | nop | E        RD:  1  RS:  0
   12  00000010  000000B3    addi x2 , x2 , xFE0 | DL  | nop | nop | nop | nop      RD:  0  RS:  0
   13  00000014  000001B3     add x1 , x0 , x0   | DL  | A   | nop | nop | nop      RD:  0  RS:  0
   14  00000018  00000233     add x3 , x0 , x0   | DL  | A   | R   | nop | nop      RD:  0  RS:  0
   15  0000001C  000002B3     add x4 , x0 , x0   | DL  | A   | R   | R   | nop      RD:  0  RS:  0
   16  00000020  00000333     add x5 , x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   17  00000024  000003B3     add x6 , x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   18  00000028  00000433     add x7 , x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   19  0000002C  000004B3     add x8 , x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   20  00000030  00000533     add x9 , x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   21  00000034  000005B3     add x10, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   22  00000038  00000633     add x11, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   23  0000003C  000006B3     add x12, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   24  00000040  00000733     add x13, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   25  00000044  000007B3     add x14, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   26  00000048  00000833     add x15, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   27  0000004C  000008B3     add x16, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   28  00000050  00000933     add x17, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   29  00000054  000009B3     add x18, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   30  00000058  00000A33     add x19, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   31  0000005C  00000AB3     add x20, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   32  00000060  00000B33     add x21, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   33  00000064  00000BB3     add x22, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   34  00000068  00000C33     add x23, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   35  0000006C  00000CB3     add x24, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   36  00000070  00000D33     add x25, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   37  00000074  00000DB3     add x26, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   38  00000078  00000E33     add x27, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   39  0000007C  00000EB3     add x28, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   40  00000080  00000F33     add x29, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   41  00000084  00000FB3     add x30, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   42  00000088  07C000EF     add x31, x0 , x0   | DL  | A   | R   | R   | E        RD:  0  RS:  0
   43  0000008C  00000013     jal x1 ,    x0003E | DL  | A   | R   | R   | E        RD:  0  RS:  1
   44  00000100  00000013    addi x0 , x0 , x000 | DLN | A   | R   | R   | E        RD:  0  RS:  1
   45  00000104  100007B7    addi x0 , x0 , x000 | DLN | AN  | R   | R   | E        RD:  0  RS:  0
